ID,age,work_type,final_weight,education,total_education_yrs,marital_state,job,status,ethnicity,sex,capital_gain,capital_loss,hrs_per_week,nationality,target_income
0,45,Private,175925,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
1,23,Private,113601,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,M,0,0,30,US,0
2,22,Private,112137,Some-college,10,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,F,0,0,20,South,0
3,27,Private,153078,Prof-school,15,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,M,0,0,40,US,0
4,18,Private,375515,11th,7,Never-married,Sales,Own-child,White,F,0,0,20,US,0
5,44,Private,43711,Bachelors,13,Never-married,Other-service,Not-in-family,White,M,0,0,48,US,0
6,27,Private,103164,11th,7,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
7,38,Private,172538,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,15024,0,50,US,1
8,59,Private,170104,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,1977,50,US,1
9,69,?,148694,HS-grad,9,Divorced,?,Not-in-family,White,F,0,0,40,US,0
10,73,Self-emp-not-inc,130391,HS-grad,9,Never-married,Other-service,Not-in-family,White,F,0,0,36,US,0
11,37,Private,38468,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
12,52,State-gov,314627,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,F,0,0,40,US,0
13,24,Private,172146,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,M,0,1721,40,US,0
14,28,Local-gov,327533,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,M,3908,0,40,US,0
15,27,Private,139209,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,F,0,0,40,US,0
16,38,Private,257250,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,M,7298,0,60,US,1
17,36,Private,254202,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,F,0,0,50,US,0
18,49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,M,0,0,40,US,1
19,41,Private,33310,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
20,39,Private,160402,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,M,0,0,38,US,0
21,20,Private,110998,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,F,0,0,30,US,0
22,32,Private,182714,HS-grad,9,Never-married,Sales,Not-in-family,White,F,0,0,45,US,0
23,34,Private,124569,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
24,23,Private,147548,HS-grad,9,Divorced,Other-service,Unmarried,White,F,0,0,30,US,0
25,60,Self-emp-not-inc,88055,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,24,US,0
26,50,Local-gov,125417,Prof-school,15,Never-married,Exec-managerial,Not-in-family,Black,F,0,0,52,US,1
27,33,Private,229051,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,M,0,0,52,US,0
28,18,Private,165316,HS-grad,9,Never-married,Transport-moving,Own-child,White,M,0,0,30,US,0
29,62,Local-gov,33365,HS-grad,9,Widowed,Other-service,Not-in-family,White,F,0,0,40,Canada,0
30,50,Private,177896,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,1
31,23,Private,82889,Some-college,10,Never-married,Adm-clerical,Own-child,White,F,0,0,16,US,0
32,59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,0,48,US,0
33,41,Private,47902,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,35,US,1
34,50,Private,193884,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,Ecuador,0
35,28,Private,478315,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,F,0,0,40,US,0
36,50,Self-emp-not-inc,114758,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,M,4416,0,45,US,0
37,35,Self-emp-not-inc,198841,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,50,US,1
38,45,Private,30457,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,15024,0,40,US,1
39,30,Private,149118,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,F,0,0,40,US,0
40,17,?,179715,10th,6,Never-married,?,Own-child,White,M,0,0,40,US,0
41,31,State-gov,557853,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,M,0,0,47,US,0
42,45,Private,100651,HS-grad,9,Divorced,Other-service,Not-in-family,White,M,0,1980,40,US,0
43,34,Private,54850,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M,0,1590,50,US,0
44,66,Self-emp-not-inc,167687,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,M,1409,0,50,US,0
45,62,?,54878,HS-grad,9,Widowed,?,Not-in-family,White,F,0,0,25,US,0
46,22,Private,88126,Bachelors,13,Never-married,Exec-managerial,Own-child,White,M,0,0,40,US,0
47,25,Private,221757,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,M,3325,0,45,US,0
48,52,Federal-gov,168539,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,1
49,50,Private,118565,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,M,0,0,40,US,0
50,29,Private,121523,11th,7,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,60,US,0
51,20,Private,39764,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,M,0,0,40,US,0
52,37,Private,160920,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,45,US,0
53,57,Private,206343,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,M,2174,0,40,Cuba,0
54,63,?,401531,1st-4th,2,Married-civ-spouse,?,Husband,White,M,0,0,35,US,0
55,56,Private,345730,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,45,US,1
56,22,Private,174043,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,M,0,0,50,US,0
57,47,Local-gov,352614,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,M,0,0,40,US,1
58,44,Private,210525,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,1
59,19,Private,277974,Some-college,10,Never-married,Sales,Own-child,White,M,0,0,35,US,0
60,23,Private,120172,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M,0,0,40,US,0
61,30,Private,147596,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,F,0,0,40,US,0
62,48,Self-emp-not-inc,167918,Masters,14,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,M,0,0,50,India,0
63,41,Private,204682,HS-grad,9,Divorced,Craft-repair,Unmarried,White,M,2174,0,40,Japan,0
64,50,Private,146325,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,44,US,1
65,28,Private,31842,Bachelors,13,Never-married,Exec-managerial,Own-child,White,M,0,0,40,US,0
66,30,Private,63861,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,F,0,0,40,US,0
67,50,Private,211116,10th,6,Married-civ-spouse,Other-service,Husband,Black,M,0,0,40,US,0
68,55,Self-emp-inc,207489,Bachelors,13,Divorced,Sales,Not-in-family,White,F,0,0,50,Germany,0
69,56,Private,204816,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,1
70,47,Private,175990,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,F,0,0,30,US,1
71,32,Private,230484,7th-8th,4,Separated,Sales,Unmarried,White,F,0,0,35,US,0
72,26,Private,150361,Some-college,10,Never-married,Tech-support,Own-child,White,F,0,0,40,US,0
73,41,Self-emp-not-inc,188738,HS-grad,9,Divorced,Craft-repair,Unmarried,White,M,0,0,27,US,0
74,36,Self-emp-not-inc,347491,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,35,US,0
75,46,Private,72896,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,43,US,0
76,48,Private,38950,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,M,0,0,89,US,0
77,41,Self-emp-inc,112262,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,50,US,0
78,25,Private,295108,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,F,0,0,25,US,0
79,28,Private,114158,Some-college,10,Never-married,Adm-clerical,Own-child,White,F,0,0,26,US,0
80,45,Private,329144,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,40,US,1
81,17,Private,198606,11th,7,Never-married,Handlers-cleaners,Own-child,White,F,0,0,16,US,0
82,20,Private,180497,HS-grad,9,Never-married,Other-service,Not-in-family,Black,F,0,0,40,US,0
83,46,Private,380162,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,M,0,0,40,US,1
84,42,Private,121055,Some-college,10,Never-married,Sales,Not-in-family,White,M,0,0,45,US,0
85,32,Private,80058,11th,7,Divorced,Sales,Not-in-family,White,M,0,0,43,US,1
86,49,Private,176814,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,M,5178,0,40,US,1
87,23,Local-gov,203353,Bachelors,13,Never-married,Prof-specialty,Own-child,White,F,0,0,45,US,0
88,43,Private,233851,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
89,25,Private,182866,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,M,0,0,40,US,0
90,23,Private,200973,HS-grad,9,Never-married,Adm-clerical,Own-child,White,F,0,0,40,US,0
91,20,Private,234880,Some-college,10,Never-married,Sales,Own-child,White,F,0,0,30,US,0
92,22,Private,138542,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,0,35,US,0
93,45,Private,155659,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,60,US,1
94,34,Self-emp-inc,114733,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,F,0,0,36,US,0
95,23,Private,137214,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,M,0,0,37,US,0
96,20,Private,185554,Some-college,10,Never-married,Adm-clerical,Own-child,White,F,0,0,25,US,0
97,19,Private,249787,HS-grad,9,Never-married,Other-service,Other-relative,Black,M,0,0,40,US,0
98,42,Federal-gov,198316,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,1
99,51,Private,302847,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,54,US,0
100,36,Private,184659,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,1
101,35,Private,93034,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,M,0,0,40,Cambodia,0
102,45,Federal-gov,358242,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,45,US,1
103,66,Local-gov,189834,7th-8th,4,Widowed,Other-service,Not-in-family,White,F,0,0,20,US,0
104,24,?,151153,Some-college,10,Never-married,?,Not-in-family,Asian-Pac-Islander,M,99999,0,50,South,1
105,42,Private,52781,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,M,0,0,40,US,0
106,41,Private,116391,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,0,40,Germany,0
107,31,Private,43819,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,F,7688,0,43,US,1
108,37,Self-emp-not-inc,107410,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,0
109,31,Federal-gov,334346,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,1
110,21,Private,304949,Some-college,10,Never-married,Prof-specialty,Own-child,White,F,0,0,10,US,0
111,50,Private,175804,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,0,48,US,0
112,48,Private,229846,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,F,0,0,40,?,0
113,59,Self-emp-not-inc,70623,7th-8th,4,Married-civ-spouse,Sales,Husband,White,M,0,0,85,US,0
114,50,Federal-gov,172046,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,1
115,47,Local-gov,128401,Doctorate,16,Never-married,Prof-specialty,Unmarried,White,F,0,0,40,US,0
116,32,Private,184207,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,M,0,0,40,US,0
117,33,Self-emp-not-inc,109959,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,25,US,0
118,30,Private,340917,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
119,35,Private,193961,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,M,0,0,40,Philippines,1
120,32,Private,356689,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,M,3887,0,40,US,0
121,25,Private,323139,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,M,0,0,35,US,0
122,20,Private,691830,HS-grad,9,Never-married,Sales,Own-child,Black,F,0,0,35,US,0
123,36,Private,94954,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,F,0,0,40,US,0
124,41,Private,156566,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,1
125,23,Private,276568,Some-college,10,Never-married,Sales,Own-child,White,F,0,0,40,US,0
126,44,Private,227399,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Black,M,0,0,40,US,0
127,31,Private,279680,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,0,45,US,0
128,71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,M,0,1816,2,US,0
129,27,Private,206903,Bachelors,13,Never-married,Handlers-cleaners,Unmarried,White,M,0,0,35,US,0
130,43,Private,60001,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,40,US,1
131,20,Private,190227,Masters,14,Never-married,Exec-managerial,Own-child,White,M,0,0,25,US,0
132,37,Private,179481,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,1
133,26,Private,174592,Masters,14,Never-married,Exec-managerial,Own-child,White,F,0,0,40,US,0
134,21,Private,198431,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,F,0,0,40,US,0
135,41,Local-gov,160785,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
136,21,Private,206008,Some-college,10,Never-married,Adm-clerical,Own-child,Black,M,0,0,50,US,0
137,42,Private,208875,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,F,0,0,40,El-Salvador,1
138,37,Self-emp-inc,162164,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
139,18,Private,152044,10th,6,Never-married,Other-service,Own-child,White,F,0,0,3,US,0
140,48,Self-emp-not-inc,362883,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,M,0,0,60,US,1
141,40,Private,143069,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,0
142,34,Local-gov,167999,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,F,0,0,33,US,0
